item_id,has_ketchup,has_mustard,has_mayonnaise,has_lettuce,has_pickles,has_onions,has_tomatoes,has_cheese,has_beef,has_bun,has_salt,has_potatoes,has_coffee,has_milk,has_sugar,has_soda,has_wheat,has_ice_cream,has_bacon
640405331,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
640405315,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
640405348,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False
640404923,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
640404963,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
640405380,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
640405172,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True
640405323,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
640405399,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
640405347,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
640405371,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
640405355,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
640405389,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
640405307,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
640405339,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
640405058,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
640405296,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
640405085,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
640405112,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
640405395,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
640405025,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True
