item_id,preference_id
640404923,1
640404923,2
640404923,6
640404923,5
640404963,2
640404963,6
640405025,2
640405058,1
640405058,2
640405058,3
640405058,4
640405058,6
640405058,5
640405085,1
640405085,2
640405085,6
640405085,5
640405112,2
640405112,6
640405172,2
640405355,1
640405355,2
640405355,3
640405355,4
640405355,6
640405355,5
640405371,1
640405371,2
640405371,3
640405371,4
640405371,6
640405371,5
640405380,1
640405380,2
640405380,3
640405380,4
640405380,6
640405380,5
640405389,2
640405389,4
640405389,6
640405389,5
640405395,2
640405395,4
640405395,6
640405395,5
640405399,2
640405399,4
640405399,6
640405399,5
640405296,1
640405296,2
640405296,3
640405296,4
640405296,6
640405296,5
640405307,1
640405307,2
640405307,3
640405307,4
640405307,6
640405307,5
640405315,1
640405315,2
640405315,3
640405315,4
640405315,6
640405315,5
640405323,1
640405323,2
640405323,3
640405323,4
640405323,6
640405323,5
640405331,1
640405331,2
640405331,3
640405331,4
640405331,6
640405331,5
640405339,1
640405339,2
640405339,3
640405339,4
640405339,6
640405339,5
640405347,2
640405347,4
640405347,6
640405347,5
640405348,2
640405348,4
640405348,6
640405348,5
