customer_id,preference_id
3,6
3,4
3,5
5,3
7,1
10,1
10,6
10,3
10,2
11,5
11,4
12,6
18,3
19,3
19,1
23,4
25,2
32,5
32,6
33,6
35,1
38,3
38,4
38,6
38,2
38,1
42,4
42,6
48,6
48,3
48,1
48,4
51,2
54,5
54,6
55,1
56,5
57,1
60,6
61,4
62,5
63,2
65,5
66,4
68,4
69,2
69,6
74,4
74,2
76,2
76,6
78,1
79,5
80,2
82,1
83,2
84,6
85,2
87,2
91,6
92,5
93,3
93,2
96,4
96,3
102,2
104,3
104,4
108,6
108,2
112,5
112,6
112,3
112,2
113,3
113,5
116,3
118,6
118,3
120,4
123,1
126,1
127,4
127,1
127,3
127,2
129,3
130,6
131,2
133,6
133,3
137,3
137,1
139,5
139,2
139,6
139,1
142,5
142,6
143,4
143,1
143,5
144,4
144,2
144,1
144,5
145,2
146,4
147,5
147,1
147,6
152,4
154,5
154,3
155,6
157,1
158,2
160,1
162,3
164,1
166,3
168,5
171,2
171,5
174,1
175,2
178,1
179,6
180,1
184,4
184,5
184,3
184,6
184,1
185,6
186,3
186,5
189,1
189,5
189,4
193,1
196,4
198,2
199,2
